"SupplyDelivery.basedOn","SupplyDelivery.basedOn","","","",0,0,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SupplyRequest|5.0.0]]}
","Fulfills plan, proposal or order","A plan, proposal or order that is fulfilled in whole or in part by this event.","","Allows tracing of authorization for the event and tracking whether proposals/recommendations were acted upon.","","","","","","","",,,,,"",,,,"SupplyDelivery.basedOn",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.basedOn",".outboundRelationship[typeCode=FLFS].target","ORC in proximity to EVN segment"
"SupplyDelivery.partOf","SupplyDelivery.partOf","","","",0,0,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SupplyDelivery|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Contract|5.0.0]]}
","Part of referenced event","A larger event of which this particular event is a component or step.","Not to be used to link an event to an Encounter - use Event.context for that.[The allowed reference resources may be adjusted as appropriate for the event resource].","E.g. Drug administration as part of a procedure, procedure as part of observation, etc.","","","","","","","",,,,,"",,,,"SupplyDelivery.partOf",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.partOf",".inboundRelationship[typeCode=COMP].source[moodCode=EVN]","Varies by domain"
"SupplyDelivery.status","SupplyDelivery.status","","","",0,1,"","Y","Y","code {[]} {[]}
","(ee Võtan vastu checkbox? |in-progress| = pole veel vastu võetud; |completed| = vastu võetud; |abandoned| = tagasilükatud/mitte vastu võetud)","A code specifying the state of the dispense event.","This element is labeled as a modifier because the status contains codes that mark the resource as not currently valid.","","","","","","","","",,"required","Status of the supply delivery.","http://hl7.org/fhir/ValueSet/supplydelivery-status|5.0.0","",,,,"SupplyDelivery.status",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.status",".statusCode, also existence of fulfillment events"
"SupplyDelivery.patient","SupplyDelivery.patient","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient|5.0.0]]}
","(ee KAS seda on vaja? Liigub ainult materjal ja materjali küljes on viide KELLELE)","A link to a resource representing the person whom the delivered item is for.","","","","","","","","","",,,,,"",,,,"SupplyDelivery.patient",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.subject",".participation[typeCode=SBJ].role"
"SupplyDelivery.type","SupplyDelivery.type","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Always biologicallyderivedproduct","Indicates the type of supply being provided.  Examples include: Medication, Device, Biologically Derived Product.","","","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <code value=""biologicallyderivedproduct""/>
  </coding>
</valueCodeableConcept>","","","",,"required","The type of supply dispense.","http://hl7.org/fhir/ValueSet/supplydelivery-supplyitemtype|5.0.0","",,,,"SupplyDelivery.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.code",".code"
"SupplyDelivery.suppliedItem","SupplyDelivery.suppliedItem","","","",1,*,"","","","BackboneElement {[]} {[]}
","(ee MIDA liigutatakse. Bioloogiline materjal. KAS on vaja viidet ka pakendile või piisab BDP viitest?)","The item that is being delivered or has been supplied.","","","","","","","","","",,,,,"",,,,"SupplyDelivery.suppliedItem",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".participation[typeCode=PRD].role"
"SupplyDelivery.suppliedItem.id","SupplyDelivery.suppliedItem.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"SupplyDelivery.suppliedItem.extension","SupplyDelivery.suppliedItem.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"SupplyDelivery.suppliedItem.modifierExtension","SupplyDelivery.suppliedItem.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"SupplyDelivery.suppliedItem.quantity","SupplyDelivery.suppliedItem.quantity","","","",0,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity|5.0.0]]} {[]}
","(ee Kogus, dooside arv, mida liigutatakse.)","The amount of the item that has been supplied.  Unit of measure may be included.","","","","","","","","","",,,,,"",,,,"SupplyDelivery.suppliedItem.quantity",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".quantity"
"SupplyDelivery.suppliedItem.item[x]","SupplyDelivery.suppliedItem.item[x]","","","",1,1,"","","","CodeableConcept {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Medication|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Substance|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/BiologicallyDerivedProduct|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/NutritionProduct|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/InventoryItem|5.0.0]]}","Medication, Substance, Device or Biologically Derived Product supplied","Identifies the medication, substance, device or biologically derived product being supplied. This is either a link to a resource representing the details of the item or a code that identifies the item from a known list.","","","","","","","","","",,"example","The item that was delivered.","http://hl7.org/fhir/ValueSet/supplydelivery-supplyitemtype|5.0.0","","type:$this}
","",,"open","SupplyDelivery.suppliedItem.item[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".participation[typeCode=PRD].role"
"SupplyDelivery.suppliedItem.item[x]:itemReference","SupplyDelivery.suppliedItem.item[x]","itemReference","","",0,1,"","","","Reference {[]} {[CanonicalType[https://fhir.ee/vris/StructureDefinition/ee-vris-embryo], CanonicalType[https://fhir.ee/vris/StructureDefinition/ee-vris-sperm], CanonicalType[https://fhir.ee/vris/StructureDefinition/ee-vris-oocyte]]}
","Medication, Substance, Device or Biologically Derived Product supplied","Identifies the medication, substance, device or biologically derived product being supplied. This is either a link to a resource representing the details of the item or a code that identifies the item from a known list.","","","","","","","","","",,,,,"",,,,"SupplyDelivery.suppliedItem.item[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".participation[typeCode=PRD].role"
"SupplyDelivery.occurrence[x]","SupplyDelivery.occurrence[x]","","","",1,1,"","","Y","dateTime {[]} {[]}
Period {[]} {[]}Timing {[]} {[]}","(ee Üle andmise/vastu võtmise kuupäev. AEG, millal sündmus aset leiab)","The date or time(s) the activity occurred.","[The list of types may be constrained as appropriate for the type of event].","","","","","","","","",,,,,"",,,,"SupplyDelivery.occurrence[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.occurrence[x]","FiveWs.done[x]",".effectiveTime","Varies by domain"
"SupplyDelivery.supplier","SupplyDelivery.supplier","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization|5.0.0]]}
","(ee PÄRITOLU. KES saadab. Viide SPD Organizationile, mille alt tuleb ka aadress ning riik.)","The individual or organization responsible for supplying the delivery.","","","","","","","","","",,,,,"",,,,"SupplyDelivery.supplier",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.performer",".participation[typeCode=PFM].role"
"SupplyDelivery.supplier.id","SupplyDelivery.supplier.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"SupplyDelivery.supplier.extension","SupplyDelivery.supplier.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"SupplyDelivery.supplier.reference","SupplyDelivery.supplier.reference","","","",0,1,"","","Y","string {[]} {[]}
","(ee VÕI referents SPD Organizationile????)","A reference to a location at which the other resource is found. The reference may be a relative reference, in which case it is relative to the service base URL, or an absolute URL that resolves to the location where the resource is found. The reference may be version specific or not. If the reference is not to a FHIR RESTful server, then it should be assumed to be version specific. Internal fragment references (start with '#') refer to contained resources.","Using absolute URLs provides a stable scalable approach suitable for a cloud/web context, while using relative/logical references provides a flexible approach suitable for use when trading across closed eco-system boundaries.   Absolute URLs do not need to point to a FHIR RESTful server, though this is the preferred approach. If the URL conforms to the structure ""[type]/[id]"" then it should be assumed that the reference is to a FHIR RESTful server.","","","","","","","","",,,,,"",,,,"Reference.reference",0,1,"ref-2
ref-1","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"SupplyDelivery.supplier.type","SupplyDelivery.supplier.type","","","",0,1,"","","Y","uri {[]} {[]}
","Type the reference refers to (e.g. ""Patient"") - must be a resource in resources","The expected type of the target of the reference. If both Reference.type and Reference.reference are populated and Reference.reference is a FHIR URL, both SHALL be consistent.

The type is the Canonical URL of Resource Definition that is the type this reference refers to. References are URLs that are relative to http://hl7.org/fhir/StructureDefinition/ e.g. ""Patient"" is a reference to http://hl7.org/fhir/StructureDefinition/Patient. Absolute URLs are only allowed for logical models (and can only be used in references in logical models, not resources).","This element is used to indicate the type of  the target of the reference. This may be used which ever of the other elements are populated (or not). In some cases, the type of the target may be determined by inspection of the reference (e.g. a known RESTful URL) or by resolving the target of the reference.","","","","","","","","",,"extensible","Aa resource (or, for logical models, the URI of the logical model).","http://hl7.org/fhir/ValueSet/resource-types|5.0.0","",,,,"Reference.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"SupplyDelivery.supplier.identifier","SupplyDelivery.supplier.identifier","","","",0,1,"","","Y","Identifier {[]} {[]}
","Logical reference, when literal reference is not known","An identifier for the target resource. This is used when there is no way to reference the other resource directly, either because the entity it represents is not available through a FHIR server, or because there is no way for the author of the resource to convert a known identifier to an actual location. There is no requirement that a Reference.identifier point to something that is actually exposed as a FHIR instance, but it SHALL point to a business concept that would be expected to be exposed as a FHIR instance, and that instance would need to be of a FHIR resource type allowed by the reference.","When an identifier is provided in place of a reference, any system processing the reference will only be able to resolve the identifier to a reference if it understands the business context in which the identifier is used. Sometimes this is global (e.g. a national identifier) but often it is not. For this reason, none of the useful mechanisms described for working with references (e.g. chaining, includes) are possible, nor should servers be expected to be able resolve the reference. Servers may accept an identifier based reference untouched, resolve it, and/or reject it - see CapabilityStatement.rest.resource.referencePolicy. 

When both an identifier and a literal reference are provided, the literal reference is preferred. Applications processing the resource are allowed - but not required - to check that the identifier matches the literal reference

Applications converting a logical reference to a literal reference may choose to leave the logical reference present, or remove it.

Reference is intended to point to a structure that can potentially be expressed as a FHIR resource, though there is no need for it to exist as an actual FHIR resource instance - except in as much as an application wishes to actual find the target of the reference. The content referred to be the identifier must meet the logical constraints implied by any limitations on what resource types are permitted for the reference.  For example, it would not be legitimate to send the identifier for a drug prescription if the type were Reference(Observation|DiagnosticReport).  One of the use-cases for Reference.identifier is the situation where no FHIR representation exists (where the type is Reference (Any).

This element only allows for a single identifier. In the case where additional identifers are required, use the [http://hl7.org/fhir/StructureDefinition/additionalIdentifier](http://hl7.org/fhir/extensions/StructureDefinition-additionalIdentifier.html) extension.","","","","","","","","",,,,,"",,,,"Reference.identifier",0,1,"ref-2
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".identifier"
"SupplyDelivery.supplier.display","SupplyDelivery.supplier.display","","","",0,1,"","","Y","string {[]} {[]}
","(ee TEKSTIna riigikood VÕI referents SDP Organizationile????)","Plain text narrative that identifies the resource in addition to the resource reference.","This is generally not the same as the Resource.text of the referenced resource.  The purpose is to identify what's being referenced, not to fully describe it.","","","","","","","","",,,,,"",,,,"Reference.display",0,1,"ref-2
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"SupplyDelivery.destination","SupplyDelivery.destination","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Location|5.0.0]]}
","(ee SIHTKOHT. MIS asukoht vastu võtab)","Identification of the facility/location where the delivery was shipped to.","","","","","","","","","",,,,,"",,,,"SupplyDelivery.destination",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".participation[typeCode=DST].role"
"SupplyDelivery.receiver","SupplyDelivery.receiver","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization|5.0.0]]}
","(ee KES või MIS organisatsioon vastu võtab. Kas kohustuslik on Organization või Location, mis vastu võtab?)","Identifies the individual or organization that received the delivery.","","","","","","","","","",,,,,"",,,,"SupplyDelivery.receiver",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".participation[typeCode=RCV].role"
"SupplyDelivery.receiver.id","SupplyDelivery.receiver.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"SupplyDelivery.receiver.extension","SupplyDelivery.receiver.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"SupplyDelivery.receiver.reference","SupplyDelivery.receiver.reference","","","",0,1,"","","Y","string {[]} {[]}
","(ee VIIDE SPD-le)","A reference to a location at which the other resource is found. The reference may be a relative reference, in which case it is relative to the service base URL, or an absolute URL that resolves to the location where the resource is found. The reference may be version specific or not. If the reference is not to a FHIR RESTful server, then it should be assumed to be version specific. Internal fragment references (start with '#') refer to contained resources.","Using absolute URLs provides a stable scalable approach suitable for a cloud/web context, while using relative/logical references provides a flexible approach suitable for use when trading across closed eco-system boundaries.   Absolute URLs do not need to point to a FHIR RESTful server, though this is the preferred approach. If the URL conforms to the structure ""[type]/[id]"" then it should be assumed that the reference is to a FHIR RESTful server.","","","","","","","","",,,,,"",,,,"Reference.reference",0,1,"ref-2
ref-1","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"SupplyDelivery.receiver.type","SupplyDelivery.receiver.type","","","",0,1,"","","Y","uri {[]} {[]}
","Type the reference refers to (e.g. ""Patient"") - must be a resource in resources","The expected type of the target of the reference. If both Reference.type and Reference.reference are populated and Reference.reference is a FHIR URL, both SHALL be consistent.

The type is the Canonical URL of Resource Definition that is the type this reference refers to. References are URLs that are relative to http://hl7.org/fhir/StructureDefinition/ e.g. ""Patient"" is a reference to http://hl7.org/fhir/StructureDefinition/Patient. Absolute URLs are only allowed for logical models (and can only be used in references in logical models, not resources).","This element is used to indicate the type of  the target of the reference. This may be used which ever of the other elements are populated (or not). In some cases, the type of the target may be determined by inspection of the reference (e.g. a known RESTful URL) or by resolving the target of the reference.","","","","","","","","",,"extensible","Aa resource (or, for logical models, the URI of the logical model).","http://hl7.org/fhir/ValueSet/resource-types|5.0.0","",,,,"Reference.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
